Date,Open,High,Low,Close,Adj Close,Volume
1/29/85,1277.719971,1295.48999,1266.890015,1292.619995,1292.619995,13560000
1/30/85,1297.369995,1305.099976,1278.930054,1287.880005,1287.880005,16820000
1/31/85,1283.23999,1293.400024,1272.640015,1286.77002,1286.77002,14070000
2/1/85,1276.939941,1286.109985,1269.77002,1277.719971,1277.719971,10980000
2/4/85,1272.079956,1294.939941,1268.98999,1290.079956,1290.079956,11630000
2/5/85,1294.060059,1301.130005,1278.599976,1285.22998,1285.22998,13800000
2/6/85,1284.890015,1294.5,1275.069946,1280.589966,1280.589966,14610000
2/7/85,1285,1297.040039,1279.810059,1290.079956,1290.079956,11440000
2/8/85,1290.079956,1297.150024,1281.359985,1289.969971,1289.969971,8000000
2/11/85,1287.98999,1291.73999,1268.660034,1276.060059,1276.060059,12600000
2/12/85,1271.199951,1283.130005,1266.339966,1276.609985,1276.609985,11870000
2/13/85,1277.829956,1304.660034,1274.51001,1297.920044,1297.920044,14050000
2/14/85,1301.790039,1307.530029,1283.680054,1287.880005,1287.880005,14020000
2/15/85,1289.199951,1296.27002,1275.069946,1282.02002,1282.02002,8730000
2/19/85,1279.810059,1287.430054,1273.52002,1280.589966,1280.589966,6690000
2/20/85,1280.150024,1292.51001,1272.530029,1283.130005,1283.130005,10760000
2/21/85,1280.369995,1287.099976,1272.640015,1279.040039,1279.040039,8600000
2/22/85,1277.939941,1286.550049,1269.98999,1275.839966,1275.839966,8500000
2/25/85,1269.98999,1283.130005,1263.910034,1277.5,1277.5,8420000
2/26/85,1276.280029,1293.180054,1272.310059,1286.109985,1286.109985,11910000
2/27/85,1285.670044,1295.27002,1274.400024,1281.030029,1281.030029,11900000
2/28/85,1278.050049,1288.319946,1271.420044,1284.01001,1284.01001,8790000
3/1/85,1285.339966,1309.959961,1282.689941,1299.359985,1299.359985,14730000
3/4/85,1299.910034,1304.550049,1283.130005,1289.530029,1289.530029,12010000
3/5/85,1290.079956,1300.02002,1281.030029,1291.849976,1291.849976,10060000
3/6/85,1291.849976,1296.930054,1275.51001,1280.369995,1280.369995,10990000
3/7/85,1276.829956,1283.23999,1265.459961,1271.530029,1271.530029,9870000
3/8/85,1273.410034,1280.810059,1264.130005,1269.660034,1269.660034,9120000
3/11/85,1268.77002,1277.050049,1260.930054,1268.550049,1268.550049,7710000
3/12/85,1267.560059,1279.47998,1262.47998,1271.75,1271.75,8340000
3/13/85,1270.97998,1278.27002,1257.619995,1261.699951,1261.699951,8840000
3/14/85,1258.719971,1269.209961,1254.199951,1260.050049,1260.050049,7950000
3/15/85,1259.719971,1266.890015,1245.140015,1247.349976,1247.349976,11280000
3/18/85,1252.650024,1260.930054,1242.819946,1249.670044,1249.670044,8270000
3/19/85,1249.01001,1274.180054,1245.689941,1271.089966,1271.089966,8990000
3/20/85,1271.530029,1277.390015,1257.839966,1265.23999,1265.23999,10540000
3/21/85,1263.800049,1278.930054,1257.619995,1268.219971,1268.219971,9630000
3/22/85,1272.420044,1277.390015,1261.699951,1267.449951,1267.449951,7800000
3/25/85,1261.699951,1268.329956,1252.869995,1259.939941,1259.939941,7930000
3/26/85,1257.069946,1267.560059,1252.099976,1259.719971,1259.719971,9520000
3/27/85,1260.160034,1270.869995,1255.959961,1264.910034,1264.910034,8960000
3/28/85,1265.900024,1275.51001,1256.630005,1260.709961,1260.709961,8700000
3/29/85,1263.469971,1270.650024,1255.849976,1266.780029,1266.780029,9810000
4/1/85,1264.800049,1276.280029,1260.48999,1272.75,1272.75,6930000
4/2/85,1273.959961,1280.150024,1261.47998,1265.680054,1265.680054,8460000
4/3/85,1264.689941,1268.109985,1251.550049,1258.060059,1258.060059,9310000
4/4/85,1256.290039,1264.23999,1248.339966,1259.050049,1259.050049,6920000
4/8/85,1259.5,1267.01001,1246.02002,1252.97998,1252.97998,7940000
4/9/85,1252.209961,1262.040039,1246.579956,1253.859985,1253.859985,8010000
4/10/85,1256.849976,1269.099976,1252.099976,1259.939941,1259.939941,9130000
4/11/85,1265.23999,1274.849976,1257.180054,1263.689941,1263.689941,10800000
4/12/85,1263.689941,1270.430054,1257.290039,1265.680054,1265.680054,7320000
4/15/85,1262.589966,1272.420044,1257.839966,1266.780029,1266.780029,6870000
4/16/85,1268.109985,1276.609985,1256.959961,1269.550049,1269.550049,9870000
4/17/85,1269.660034,1277.5,1263.469971,1272.310059,1272.310059,9120000
4/18/85,1278.819946,1281.910034,1260.819946,1265.130005,1265.130005,11170000
4/19/85,1265.130005,1272.530029,1258.5,1266.560059,1266.560059,8740000
4/22/85,1269.77002,1273.630005,1257.619995,1266.560059,1266.560059,7080000
4/23/85,1265.349976,1282.910034,1261.150024,1278.709961,1278.709961,10790000
4/24/85,1279.48999,1286.439941,1269.880005,1278.48999,1278.48999,8510000
4/25/85,1276.829956,1289.199951,1272.530029,1284.780029,1284.780029,9620000
4/26/85,1286.219971,1290.300049,1270.540039,1275.180054,1275.180054,8930000
4/29/85,1272.859985,1277.939941,1257.400024,1259.719971,1259.719971,9200000
4/30/85,1256.73999,1266.22998,1245.800049,1258.060059,1258.060059,12390000
5/1/85,1257.180054,1262.810059,1239.069946,1242.050049,1242.050049,10050000
5/2/85,1244.369995,1251.209961,1235.530029,1242.27002,1242.27002,9780000
5/3/85,1243.709961,1253.859985,1238.300049,1247.23999,1247.23999,8680000
5/6/85,1246.910034,1256.400024,1241.390015,1247.790039,1247.790039,7100000
5/7/85,1248.22998,1261.369995,1243.150024,1252.75,1252.75,9140000
5/8/85,1248.670044,1258.939941,1239.51001,1249.780029,1249.780029,9710000
5/9/85,1251.880005,1265.569946,1246.579956,1260.27002,1260.27002,16290000
5/10/85,1268.98999,1282.459961,1261.589966,1274.180054,1274.180054,16460000
5/13/85,1277.609985,1283.569946,1268.77002,1277.5,1277.5,7530000
5/14/85,1281.469971,1288.650024,1267.670044,1273.300049,1273.300049,11580000
5/15/85,1271.199951,1283.569946,1265.459961,1273.52002,1273.52002,13980000
5/16/85,1276.719971,1285.109985,1270.099976,1278.050049,1278.050049,10590000
5/17/85,1276.829956,1295.829956,1271.420044,1285.339966,1285.339966,14230000
5/20/85,1298.949951,1310.369995,1292.22998,1304.880005,1304.880005,15320000
5/21/85,1305,1316.079956,1297.48999,1309.699951,1309.699951,13230000
5/22/85,1305.219971,1308.920044,1294.349976,1303.76001,1303.76001,8670000
5/23/85,1301.75,1307.800049,1290.98999,1296.709961,1296.709961,8210000
5/24/85,1295.469971,1305.670044,1291.109985,1301.969971,1301.969971,6680000
5/28/85,1305.329956,1312.839966,1293.22998,1301.52002,1301.52002,9210000
